elapsed_s,lhl,lhm,lgm,lgl,lpl,lrf,lta,lvl
1.7084501,474,-676,-397,272,-477,125,797,-294
1.70895,475,-676,-396,272,-477,125,797,-294
1.70945,474,-676,-396,272,-476,124,797,-294
1.7099501,474,-677,-396,271,-476,125,796,-294
1.71045,474,-677,-396,271,-476,124,796,-294
1.71095,474,-676,-397,272,-476,125,796,-294
1.71145,474,-676,-396,272,-476,125,796,-294
1.7119501,474,-676,-396,272,-476,125,796,-293
1.71245,474,-677,-397,272,-476,125,796,-293
1.71295,474,-676,-397,272,-476,125,796,-293
1.7134501,474,-676,-397,272,-476,125,797,-293
1.71405,474,-676,-397,272,-477,125,797,-293
1.71455,474,-676,-397,272,-477,125,797,-293
1.71505,474,-676,-397,272,-477,125,797,-294
1.7155501,474,-676,-396,272,-477,124,797,-294
1.71605,474,-676,-396,271,-476,125,798,-294
1.71655,474,-676,-396,271,-476,125,798,-294
1.7170501,474,-676,-396,271,-476,125,798,-294
1.71755,474,-676,-395,271,-476,125,798,-293
1.71805,474,-676,-396,271,-475,125,797,-293
1.7185501,473,-676,-396,271,-475,125,797,-293
1.71905,473,-675,-396,272,-476,125,797,-294
1.71955,474,-676,-397,272,-476,125,797,-294
1.7200501,474,-676,-397,273,-476,124,797,-295
1.7205501,474,-676,-398,273,-476,125,797,-294
1.72105,474,-675,-397,273,-477,125,797,-294
1.72155,474,-676,-397,273,-477,125,797,-294
1.7220501,474,-676,-397,272,-476,125,797,-294
1.72255,474,-676,-397,273,-476,125,796,-293
1.72305,474,-676,-397,272,-476,125,796,-294
1.7235501,474,-676,-397,272,-476,125,797,-294
1.72405,474,-676,-397,272,-477,124,796,-294
1.72455,474,-675,-396,272,-477,125,797,-295
1.7250501,473,-675,-396,272,-477,124,796,-295
1.72555,473,-675,-396,272,-477,124,797,-295
1.72605,473,-676,-396,272,-477,125,797,-295
1.72655,474,-676,-396,272,-477,125,797,-295
1.7270501,474,-676,-397,273,-477,125,798,-295
1.72755,473,-676,-397,273,-477,124,798,-295
1.72805,474,-676,-397,273,-478,125,798,-295
1.7285501,474,-676,-397,272,-477,124,798,-295
1.72905,473,-676,-397,272,-477,125,798,-294
1.72955,473,-676,-398,272,-477,125,798,-294
1.7300501,473,-676,-398,272,-477,125,797,-295
1.73055,473,-676,-397,272,-477,125,797,-295
1.73105,473,-676,-398,273,-476,124,796,-295
1.7315501,473,-677,-398,272,-477,124,797,-295
1.7320501,474,-677,-397,272,-477,124,797,-295
1.73255,473,-677,-398,272,-477,124,797,-294
1.73305,473,-676,-397,272,-477,124,798,-294
1.7335501,474,-677,-396,273,-477,124,798,-294
1.73405,474,-676,-396,274,-477,125,798,-294
1.73455,474,-677,-396,273,-477,124,798,-295
1.7350501,475,-676,-396,271,-476,124,797,-294
1.73555,474,-676,-395,271,-474,124,797,-294
1.73605,474,-676,-395,270,-475,124,796,-295
1.7365501,475,-676,-395,270,-475,124,796,-294
1.73705,474,-676,-396,270,-475,125,796,-295
1.73755,474,-676,-396,271,-476,125,796,-294
1.73805,474,-676,-397,272,-476,125,796,-293
1.7385501,474,-676,-397,272,-476,125,796,-293
1.73905,473,-675,-397,272,-476,125,797,-293
1.73955,473,-675,-397,272,-477,125,798,-293
1.7400501,473,-675,-397,272,-476,125,798,-293
1.74055,473,-675,-396,272,-476,125,798,-293
1.74105,473,-676,-397,272,-476,125,797,-293
1.7415501,474,-676,-397,272,-477,125,798,-294
1.74205,474,-677,-397,272,-476,125,797,-294
1.74255,473,-677,-397,272,-476,124,797,-294
1.74305,473,-676,-396,271,-476,125,797,-294
1.7435501,473,-676,-396,270,-475,125,797,-294
1.74405,473,-676,-396,270,-476,125,797,-294
1.74455,473,-676,-396,271,-476,125,797,-294
1.7450501,473,-675,-396,271,-476,125,797,-294
1.74555,472,-675,-397,272,-476,126,797,-294
1.74605,473,-675,-396,271,-476,126,797,-294
1.7465501,473,-675,-396,271,-476,126,797,-293
1.74705,474,-675,-396,271,-476,125,796,-294
1.74755,474,-676,-396,271,-476,125,797,-294
1.7480501,474,-676,-397,272,-476,124,797,-294
1.74855,475,-676,-397,272,-476,125,797,-294
1.74905,475,-677,-396,271,-476,125,797,-294
1.74955,474,-676,-397,272,-476,125,797,-294
1.7500501,474,-676,-396,272,-477,124,797,-294
1.75055,474,-675,-397,272,-476,124,797,-294
1.75105,474,-676,-397,272,-476,124,797,-294
1.7515501,474,-675,-396,272,-476,125,797,-294
1.75205,474,-676,-397,272,-476,125,797,-294
1.75255,474,-676,-397,272,-476,125,797,-294
1.7530501,474,-676,-397,272,-476,125,797,-294
1.75355,474,-676,-396,272,-476,125,797,-294
1.75405,474,-676,-396,272,-476,125,797,-294
1.75455,475,-676,-396,272,-476,125,797,-295
1.7550501,474,-676,-396,272,-476,125,797,-294
1.75555,475,-676,-397,272,-476,125,797,-294
1.75605,475,-676,-397,272,-476,125,796,-293
1.7565501,475,-677,-398,273,-476,125,797,-293
1.75705,475,-677,-398,272,-476,125,797,-293
1.75755,475,-677,-398,273,-476,125,797,-294
1.75815,476,-677,-398,273,-477,125,797,-293
1.7586501,476,-677,-398,273,-476,125,797,-293
1.75915,476,-676,-399,273,-476,125,797,-293
1.75965,475,-676,-398,273,-476,125,797,-293
1.7601501,474,-676,-398,273,-476,125,797,-293
1.76065,474,-676,-397,272,-476,124,796,-292
1.76115,474,-676,-396,271,-476,125,796,-292
1.7616501,474,-677,-395,270,-476,125,796,-293
1.76215,474,-677,-395,270,-475,124,796,-293
1.76265,474,-677,-396,270,-476,125,797,-293
1.7631501,474,-677,-397,271,-476,125,797,-294
1.7636501,475,-677,-397,271,-476,125,797,-295
1.76415,474,-677,-396,271,-476,124,797,-296
1.76465,474,-676,-395,271,-476,124,797,-297
1.7651501,474,-676,-395,271,-477,124,797,-297
1.76565,473,-676,-396,272,-476,125,797,-297
1.76615,472,-675,-396,272,-477,125,797,-296
1.7666501,472,-675,-397,272,-477,125,797,-295
1.76715,472,-674,-397,272,-476,125,797,-294
1.76765,473,-675,-397,272,-476,125,797,-294
1.7681501,473,-675,-397,272,-477,126,797,-293
1.76865,473,-675,-397,272,-476,126,797,-293
1.76915,474,-676,-398,272,-476,126,797,-293
1.76965,474,-676,-397,272,-477,126,797,-293
1.7701501,474,-677,-398,273,-477,125,797,-293
1.77065,474,-677,-397,272,-477,125,797,-294
1.77115,474,-676,-397,272,-476,125,797,-294
1.7716501,473,-677,-397,272,-476,125,797,-294
1.77215,473,-676,-398,272,-475,125,796,-294
1.77265,473,-676,-398,271,-476,125,796,-294
1.7731501,474,-676,-398,271,-476,125,797,-294
1.77365,474,-676,-397,271,-476,125,797,-294
1.77415,474,-676,-397,271,-476,125,797,-294
1.7746501,474,-676,-397,271,-476,125,797,-294
1.7751501,474,-677,-396,271,-476,126,797,-294
1.77565,474,-676,-396,271,-476,125,797,-294
1.77615,475,-677,-395,272,-476,125,797,-293
1.7766501,475,-677,-395,272,-476,125,797,-294
1.77715,475,-678,-396,272,-476,125,797,-294
1.77765,476,-678,-396,272,-477,125,797,-294
1.7781501,475,-678,-396,272,-477,125,797,-294
1.77865,475,-678,-397,272,-477,125,797,-294
1.77915,475,-677,-397,272,-477,125,797,-294
1.7796501,475,-677,-397,272,-477,125,797,-294
1.78015,474,-676,-397,272,-477,125,797,-294
1.78065,473,-676,-396,272,-477,125,797,-294
1.78115,473,-676,-396,272,-477,124,797,-294
1.7816501,473,-675,-396,272,-476,124,797,-294
1.78215,473,-676,-396,272,-476,124,796,-294
1.78265,473,-676,-397,272,-476,124,796,-294
1.7831501,474,-676,-396,272,-476,124,797,-295
1.78365,474,-677,-396,272,-476,124,797,-294
1.78415,474,-676,-397,273,-476,124,797,-295
1.7846501,474,-676,-397,273,-476,125,797,-295
1.78515,474,-676,-397,273,-476,125,797,-294
1.78565,474,-676,-396,272,-476,126,797,-294
1.78615,474,-676,-397,271,-476,125,797,-294
1.7866501,474,-676,-396,272,-476,125,797,-295
1.78715,473,-676,-397,272,-476,124,796,-295
1.78765,474,-676,-397,271,-476,124,796,-295
1.7881501,474,-676,-397,272,-476,125,796,-295
1.78865,473,-676,-397,271,-476,124,797,-295
1.78915,473,-676,-397,272,-477,124,796,-295
1.7896501,473,-676,-396,272,-476,125,796,-295
1.79015,473,-675,-397,272,-476,125,797,-295
1.79065,472,-675,-397,272,-477,125,797,-294
1.7911501,472,-675,-397,272,-477,125,797,-294
1.79165,471,-675,-396,271,-477,125,797,-295
1.79215,471,-674,-397,271,-476,125,797,-294
