elapsed_s,i,j,k,real
637.6423,-0.0073995525,0.00036466145,-0.7562245,0.654226
637.6523,-0.007238322,0.00051805924,-0.7561634,0.6543583
637.6624,-0.0071103508,0.00072668865,-0.7559826,0.6545527
637.6722,-0.0069421628,0.00092464284,-0.7558808,0.65469056
637.6818,-0.0068587777,0.0011402348,-0.7556944,0.6548443
637.6922,-0.0067647668,0.0013960516,-0.7555646,0.6550769
637.7025,-0.006714996,0.0016628387,-0.7553439,0.65528077
637.7124,-0.006624979,0.0019190351,-0.7552023,0.65542805
637.7226,-0.0066270404,0.0021442024,-0.7551022,0.6555737
637.7323,-0.006622156,0.0024139918,-0.75496143,0.6557249
637.7424,-0.0066242176,0.002639159,-0.7548613,0.65587056
637.7524,-0.0066259913,0.002868352,-0.75467587,0.6560282
637.7623,-0.006621107,0.0031381417,-0.7545351,0.6561793
637.7723,-0.006663452,0.003373973,-0.7543559,0.65638167
637.7825,-0.006699119,0.0036503645,-0.75422156,0.6565774
637.7923,-0.0067078588,0.003834972,-0.7540767,0.65672946
637.8025,-0.006754523,0.004067138,-0.7539712,0.6568346
637.8126,-0.006886291,0.004312888,-0.7538666,0.6569434
637.8225,-0.0069778245,0.0045480197,-0.7538409,0.65699565
637.832,-0.0071475403,0.0048413663,-0.75377536,0.65705746
637.8424,-0.0073242127,0.005090062,-0.75375056,0.6571137
637.8524,-0.0075005675,0.005342775,-0.7536403,0.6571818
637.8624,-0.00771783,0.0055981465,-0.7536219,0.6572827
637.8726,-0.007932085,0.0058984095,-0.7535509,0.6573037
637.8825,-0.008234161,0.00617139,-0.7534479,0.6574204
637.8925,-0.008489005,0.0064783287,-0.75338334,0.6574861
637.9025,-0.008743832,0.00678523,-0.7533186,0.6575517
637.9127,-0.009012331,0.0070069954,-0.75325,0.65761834
637.9226,-0.009233548,0.0072626728,-0.75321966,0.6576338
637.9325,-0.009423826,0.0074262433,-0.75319105,0.657691
637.9423,-0.009587176,0.00749803,-0.7531521,0.6577042
637.9525,-0.009739538,0.007614108,-0.7530842,0.6578085
637.9627,-0.009809067,0.0076796804,-0.7528972,0.6580124
637.9727,-0.009889577,0.007700991,-0.7527392,0.6581255
637.9828,-0.009932532,0.007670744,-0.7526274,0.65827376
637.9926,-0.009973094,0.0076774107,-0.7526337,0.6583185
638.0027,-0.010064882,0.0076504066,-0.75258994,0.65832865
638.0127,-0.0101543255,0.0076603624,-0.7526644,0.6582353
638.0227,-0.010206185,0.007618751,-0.75278497,0.65817726
638.0326,-0.010302287,0.0075881104,-0.75281465,0.65809023
638.0428,-0.010349507,0.0075541805,-0.75277644,0.6581413
638.0527,-0.010349507,0.0075541805,-0.75277644,0.6581413
638.0626,-0.010448253,0.007482619,-0.75277346,0.658146
638.0727,-0.0104549015,0.0074420506,-0.75272876,0.65815246
638.0827,-0.010509079,0.0073635643,-0.7527312,0.658198
638.0922,-0.010556301,0.0073296344,-0.7526929,0.6582491
638.1026,-0.010556301,0.0073296344,-0.7526929,0.6582491
638.1128,-0.010596548,0.0073403185,-0.75261384,0.6583055
638.1229,-0.010639502,0.007310071,-0.7525021,0.6584538
638.1328,-0.010675735,0.007320431,-0.7524349,0.65859586
638.1427,-0.010671125,0.007328122,-0.75227594,0.658705
638.1528,-0.01073402,0.007434205,-0.75213385,0.6589025
638.1628,-0.010859424,0.0074584903,-0.7520556,0.658963
638.1728,-0.010893068,0.0075096944,-0.7520212,0.6590132
638.1829,-0.010978189,0.0075233155,-0.7520221,0.6590171
638.1928,-0.011103594,0.0075476,-0.751944,0.6590776
638.2027,-0.011215371,0.0076569733,-0.7518697,0.6591371
638.2128,-0.011327477,0.007762395,-0.75188076,0.6591848
638.2228,-0.01140565,0.007820544,-0.75184095,0.6591943
638.2329,-0.011562341,0.007932927,-0.7518466,0.6592012
638.2424,-0.011647461,0.007946549,-0.7518475,0.6592052
638.2527,-0.011725663,0.008004705,-0.75180763,0.65921456
638.2631,-0.011799524,0.008066585,-0.7516942,0.6593213
638.273,-0.0119073065,0.008175671,-0.7516319,0.65946627
638.2828,-0.011940604,0.008230884,-0.75151205,0.65952826
638.2929,-0.011969908,0.00828581,-0.7514042,0.65967566
638.3029,-0.01200586,0.0083001675,-0.7512517,0.6598295
638.313,-0.012035172,0.008355064,-0.75114375,0.6599769
638.3231,-0.012104701,0.008420638,-0.75095683,0.66018087
638.333,-0.012096104,0.008428013,-0.75080985,0.6603755
638.343,-0.012125106,0.008486898,-0.7506165,0.6605348
638.3528,-0.012109823,0.008534861,-0.75051403,0.660723
638.3629,-0.012094239,0.008586784,-0.7503263,0.66092306
638.3731,-0.012045043,0.008587512,-0.7501729,0.66107297
638.383,-0.012029479,0.0086394735,-0.74998516,0.661273
638.3933,-0.012013898,0.008691397,-0.7497973,0.661473
638.4031,-0.011998298,0.0087433765,-0.7496095,0.66167307
638.4132,-0.011989673,0.008750743,-0.7494625,0.6618676
638.4231,-0.011929494,0.008795733,-0.7492802,0.6621085
638.4331,-0.01186243,0.008885269,-0.7490571,0.6623547
638.4432,-0.011808931,0.008889699,-0.7488302,0.66260195
638.453,-0.011800305,0.008897066,-0.7486831,0.6627965
638.4632,-0.0117441425,0.008942379,-0.7484889,0.6629518
638.4731,-0.01178704,0.008912113,-0.74837714,0.6631001
638.4832,-0.011782737,0.0089158155,-0.7483036,0.66319746
638.493,-0.011778443,0.008919489,-0.74823016,0.6632947
638.5027,-0.011767176,0.008967777,-0.7481158,0.6633975
638.513,-0.011810064,0.00893754,-0.7480041,0.66354585
638.5231,-0.011832407,0.009037022,-0.7478554,0.66369873
638.5333,-0.011868331,0.00905137,-0.74770284,0.66385263
638.5432,-0.011897679,0.009106248,-0.74759495,0.66400003
638.5532,-0.011971542,0.009168127,-0.74748147,0.66410667
638.5634,-0.01208331,0.009277528,-0.7474074,0.6641662
638.5733,-0.01215053,0.009379948,-0.7473386,0.66426665
638.5831,-0.01229328,0.009581436,-0.7472627,0.6642846
638.5932,-0.012439011,0.009738119,-0.74723953,0.66438246
638.6032,-0.01254413,0.009888089,-0.74720997,0.6644357
638.6132,-0.012686871,0.010089606,-0.74713415,0.6644536
638.6234,-0.012870499,0.0102937445,-0.74715006,0.6645043
638.6333,-0.013013277,0.010495242,-0.7470743,0.6645223
638.6433,-0.013182983,0.010788523,-0.74700874,0.664584
638.6529,-0.013359637,0.011037276,-0.74698395,0.66464025
638.6632,-0.01352937,0.011330565,-0.7469184,0.66470206
638.6734,-0.013750275,0.011590259,-0.7468027,0.6647294
638.6834,-0.013913328,0.0119241085,-0.7467818,0.6647848
638.6934,-0.014134595,0.012179832,-0.7467515,0.6648004
638.7033,-0.014226099,0.012414955,-0.7467258,0.6648527
