elapsed_s,i,j,k,real
671.3075,-0.013241869,-0.026231486,-0.7520319,0.658456
671.3174,-0.013303872,-0.026244987,-0.75231504,0.65811384
671.3276,-0.013359084,-0.026173323,-0.7526082,0.6577647
671.3376,-0.013452947,-0.026103025,-0.7529471,0.65742767
671.3474,-0.013508158,-0.02603139,-0.7532402,0.65707844
671.3577,-0.013603337,-0.025922468,-0.7535912,0.6566958
671.3677,-0.013745086,-0.025805436,-0.7539036,0.65631104
671.3777,-0.013832102,-0.025649998,-0.7542526,0.6559669
671.3877,-0.013843485,-0.025509259,-0.75460863,0.6555284
671.3977,-0.013798636,-0.025312683,-0.75490296,0.6552006
671.4076,-0.013807122,-0.025193157,-0.75514835,0.6548779
671.4173,-0.01379934,-0.024980497,-0.7553898,0.6546323
671.4278,-0.013798319,-0.024853002,-0.7556212,0.65439373
671.4378,-0.013749257,-0.02471621,-0.75579274,0.6542274
671.4478,-0.013706772,-0.024608534,-0.7558677,0.6540923
671.4578,-0.013694717,-0.024455668,-0.75598645,0.6540081
671.4677,-0.013644069,-0.024301449,-0.7560595,0.6539117
671.4778,-0.013593456,-0.024147194,-0.75613254,0.65381527
671.4874,-0.0134495385,-0.023953222,-0.7561965,0.6537473
671.4979,-0.013390753,-0.023752457,-0.7562674,0.6536895
671.508,-0.013293352,-0.023550317,-0.7562928,0.6536195
671.5178,-0.013233228,-0.023388147,-0.75635165,0.65360737
671.5277,-0.01303442,-0.023099706,-0.7563659,0.65360445
671.538,-0.013022186,-0.022890776,-0.7563984,0.65354455
671.5478,-0.012870133,-0.022650262,-0.7564603,0.65351516
671.5575,-0.012771445,-0.022486737,-0.75647354,0.6534908
671.5681,-0.012712635,-0.022285957,-0.7565445,0.65343297
671.578,-0.012521992,-0.022044063,-0.7565608,0.6533914
671.5879,-0.012423456,-0.02193659,-0.7566602,0.65334266
671.5978,-0.01224768,-0.021826368,-0.7566684,0.6532696
671.6079,-0.012018807,-0.021695215,-0.7568114,0.6531671
671.6181,-0.011928438,-0.02163429,-0.75691295,0.65307987
671.6277,-0.011761003,-0.02162667,-0.75700927,0.65294385
671.638,-0.011585435,-0.02157253,-0.75710356,0.65284646
671.6481,-0.011411242,-0.021479778,-0.75721025,0.6527032
671.658,-0.01123436,-0.021464236,-0.7572925,0.65265155
671.6681,-0.011057236,-0.021392655,-0.75728846,0.6526242
671.6781,-0.0108336,-0.021329228,-0.757323,0.65259874
671.6879,-0.010569995,-0.021303046,-0.75729966,0.6526069
671.6977,-0.01029826,-0.021230284,-0.75727445,0.6526537
671.708,-0.010071724,-0.021188013,-0.75719845,0.65274405
671.7182,-0.009793197,-0.021030113,-0.7571832,0.6527837
671.7281,-0.009559901,-0.020902678,-0.75711733,0.65286696
671.7381,-0.009240034,-0.020820651,-0.75703216,0.6529857
671.748,-0.009006737,-0.020693213,-0.7569662,0.65306896
671.758,-0.008725312,-0.020556489,-0.7568405,0.6532244
671.7678,-0.008445229,-0.020381154,-0.7567269,0.65333414
671.7782,-0.008163832,-0.020244434,-0.7566012,0.65348935
671.7883,-0.007882407,-0.020107694,-0.75647545,0.6536447
671.7981,-0.007600982,-0.019970968,-0.7563496,0.65380013
671.8082,-0.00723445,-0.019841032,-0.7562169,0.6539453
671.8182,-0.0069611543,-0.01975088,-0.75609314,0.65406203
671.8281,-0.006633156,-0.01962227,-0.75600594,0.65421945
671.8378,-0.006321513,-0.01958678,-0.75592285,0.6542997
671.8481,-0.006001646,-0.019504758,-0.7558377,0.65441847
671.8583,-0.0056899753,-0.019469248,-0.7557546,0.65449864
671.8683,-0.0053398614,-0.01948846,-0.755712,0.6545423
671.8783,-0.004981615,-0.019461095,-0.75566745,0.6546246
671.8882,-0.004630189,-0.0195189,-0.75561273,0.6547139
671.8981,-0.0042690425,-0.019512733,-0.75545764,0.6549119
671.908,-0.0038308934,-0.019559888,-0.7552974,0.655061
671.9183,-0.0034365728,-0.019676115,-0.7550744,0.65529966
671.9285,-0.002997051,-0.019761859,-0.7549019,0.6554946
671.9383,-0.0026027858,-0.019878112,-0.75467885,0.65573305
671.9482,-0.0022071237,-0.020032918,-0.7544435,0.65601736
671.9582,-0.0018128287,-0.020149168,-0.7542204,0.65625584
671.9683,-0.0014090342,-0.020257432,-0.75398314,0.65657866
671.9781,-0.0010147383,-0.020373676,-0.75376,0.6568172
671.9885,-0.00070558675,-0.020483091,-0.753544,0.65706587
671.9985,-0.0003497051,-0.02054463,-0.7532803,0.657341
672.0083,-7.914286e-05,-0.020655423,-0.75310993,0.6576019
672.0185,0.00019160192,-0.020710178,-0.7528532,0.6578871
