elapsed_s,lhl,lhm,lgm,lgl,lpl,lrf,lta,lvl
1.5795498,675,-1441,3,1385,-1247,-830,857,731
1.5800499,675,-1441,2,1386,-1247,-830,856,731
1.5805498,675,-1441,2,1387,-1247,-830,857,731
1.5810498,674,-1441,2,1387,-1247,-830,856,731
1.5815498,674,-1441,2,1387,-1247,-830,857,731
1.5820498,674,-1440,1,1388,-1247,-830,857,731
1.5825498,674,-1441,1,1388,-1247,-830,857,731
1.5830498,675,-1441,2,1388,-1247,-830,857,731
1.5835499,675,-1442,1,1388,-1247,-830,857,731
1.5840498,675,-1442,2,1388,-1247,-830,857,731
1.5845498,675,-1442,1,1387,-1247,-830,857,732
1.5850499,675,-1442,1,1388,-1247,-830,856,731
1.5855498,675,-1442,2,1388,-1247,-830,856,731
1.5860498,675,-1442,1,1388,-1246,-830,857,731
1.5866498,675,-1442,2,1387,-1247,-830,857,731
1.5871499,675,-1441,2,1388,-1247,-831,856,731
1.5876498,675,-1441,2,1388,-1247,-830,857,731
1.5881498,674,-1441,2,1388,-1247,-830,857,731
1.5886499,674,-1441,3,1387,-1247,-830,857,731
1.5891498,674,-1440,3,1386,-1247,-830,857,731
1.5896498,675,-1440,3,1386,-1246,-830,857,731
1.5901498,674,-1441,2,1386,-1247,-830,857,731
1.5906498,675,-1441,2,1387,-1247,-830,857,731
1.5911498,675,-1441,2,1387,-1247,-830,857,731
1.5916498,675,-1441,2,1387,-1247,-830,856,731
1.5921499,675,-1441,2,1387,-1247,-830,856,731
1.5926498,675,-1441,1,1387,-1248,-830,856,731
1.5931498,675,-1441,1,1388,-1247,-830,856,731
1.5936499,675,-1442,1,1388,-1247,-830,856,732
1.5941498,676,-1442,1,1388,-1248,-830,856,731
1.5946498,675,-1441,1,1389,-1248,-830,857,732
1.5951498,675,-1441,1,1388,-1247,-830,856,731
1.5956498,675,-1442,1,1388,-1247,-829,856,731
1.5961498,676,-1442,1,1388,-1247,-830,857,731
1.5966498,676,-1442,1,1388,-1248,-830,857,731
1.5971498,676,-1441,0,1388,-1247,-830,857,732
1.5976498,675,-1441,0,1388,-1248,-830,857,732
1.5981498,674,-1440,1,1387,-1248,-829,857,732
1.5986499,673,-1440,1,1387,-1247,-830,856,731
1.5991498,673,-1440,1,1387,-1247,-830,857,732
1.5996498,674,-1440,2,1387,-1247,-830,856,732
1.6001499,674,-1440,2,1387,-1246,-830,857,732
1.6006498,674,-1439,2,1387,-1245,-830,857,732
1.6011498,673,-1439,3,1387,-1246,-830,857,732
1.6016498,674,-1440,3,1387,-1246,-830,857,732
1.6021498,673,-1440,1,1387,-1247,-830,857,731
1.6026498,674,-1440,1,1388,-1247,-829,857,732
1.6031498,675,-1440,1,1389,-1248,-830,857,732
1.6036499,675,-1440,0,1390,-1248,-830,857,731
1.6041498,674,-1440,0,1390,-1248,-829,857,731
1.6046498,674,-1440,1,1390,-1247,-830,857,731
1.6051499,674,-1440,1,1390,-1248,-830,857,731
1.6056498,675,-1441,1,1390,-1248,-830,857,731
1.6061498,675,-1441,2,1389,-1247,-830,857,731
1.6066498,675,-1441,2,1389,-1247,-830,857,731
1.6071498,674,-1441,2,1389,-1247,-830,857,731
1.6076498,674,-1440,2,1388,-1247,-830,857,731
1.6081498,674,-1440,3,1385,-1246,-830,857,731
1.6086498,674,-1440,3,1384,-1246,-830,856,731
