elapsed_s,i,j,k,real
36.71325,-0.13323931,-0.09293424,0.27578312,0.94740564
36.72285,-0.13730158,-0.093931824,0.27664274,0.9464588
36.73325,-0.14164819,-0.094987944,0.27756917,0.94544566
36.74345,-0.14594965,-0.0958947,0.2784985,0.94439095
36.75335,-0.15018201,-0.09674449,0.27950913,0.9433527
36.76325,-0.15449473,-0.09749231,0.28055963,0.9423278
36.77335,-0.15887104,-0.0982292,0.28167993,0.9411876
36.783348,-0.16323729,-0.09884283,0.28281337,0.9399646
36.79305,-0.16752549,-0.099338494,0.28405923,0.9388096
36.80335,-0.17198591,-0.09968915,0.28537175,0.9375455
36.81335,-0.17633744,-0.099901274,0.2866174,0.9363552
36.82335,-0.18064314,-0.099968724,0.28776363,0.9351902
36.83305,-0.18471396,-0.09985499,0.28870368,0.93411064
36.84335,-0.18892945,-0.0996407,0.28946453,0.9330447
36.85325,-0.19283246,-0.09940001,0.29020154,0.9320523
36.86345,-0.1966891,-0.09900249,0.29112792,0.93096983
36.87365,-0.20056915,-0.098555,0.29246885,0.92980033
36.88335,-0.2043144,-0.09798691,0.2940926,0.9285125
36.89355,-0.20831731,-0.09749998,0.29603058,0.9270325
36.90345,-0.21259028,-0.09694283,0.2982174,0.925439
36.91355,-0.21718313,-0.09646551,0.30058384,0.923671
36.92355,-0.22211085,-0.09619203,0.3030499,0.9217094
36.93345,-0.22751476,-0.096011624,0.30570748,0.9195366
36.943348,-0.23343644,-0.09600854,0.30862045,0.917077
36.95355,-0.2402651,-0.09631962,0.31188685,0.91414016
36.96345,-0.24761197,-0.0970978,0.31508744,0.91101825
36.97335,-0.25542453,-0.098123215,0.31846046,0.9075889
36.98325,-0.26416034,-0.09957725,0.3223116,0.90352947
36.99365,-0.27410302,-0.10152325,0.32660556,0.89884067
37.00375,-0.28416142,-0.10359416,0.33120638,0.8937758
37.01355,-0.2944039,-0.105851725,0.33593056,0.88838524
37.02345,-0.30486435,-0.108621284,0.340263,0.8828628
37.03365,-0.31490332,-0.112032905,0.34352362,0.8776587
37.04355,-0.32419375,-0.116226,0.34544715,0.87296796
37.05335,-0.33275625,-0.12111481,0.34583503,0.86888367
37.06335,-0.3411192,-0.12670557,0.3453526,0.8650338
37.07375,-0.34757096,-0.1310165,0.3474801,0.8609535
