elapsed_s,i,j,k,real
169.84344,-0.0862097,0.039683267,0.40926003,-0.90743965
169.85335,-0.085512534,0.039417334,0.408989,-0.9076582
169.86334,-0.0848475,0.039123327,0.40871075,-0.90783393
169.87335,-0.084150344,0.038857397,0.4084397,-0.90805256
169.88345,-0.08339016,0.03858539,0.40820125,-0.9082223
169.89345,-0.082692996,0.038319454,0.40793037,-0.90844107
169.90315,-0.08208899,0.038034275,0.4077038,-0.9086477
169.91335,-0.081360996,0.03773413,0.407458,-0.90877455
169.92355,-0.08069393,0.037442856,0.40726405,-0.90893245
169.93355,-0.08002693,0.037151545,0.40707004,-0.9090903
169.94365,-0.07930167,0.036853436,0.406842,-0.9093015
169.95364,-0.07872987,0.036540143,0.4066082,-0.90946525
169.96346,-0.07806078,0.03630641,0.40629426,-0.9096913
169.97356,-0.07742388,0.03604457,0.40597296,-0.9098744
169.98355,-0.07678498,0.03578546,0.4057361,-0.91003966
169.99345,-0.07621516,0.035469435,0.40541783,-0.9102211
170.00365,-0.07566745,0.03524858,0.4051054,-0.91044265
170.01344,-0.075149745,0.035002418,0.40487,-0.9106032
170.02365,-0.074634194,0.034753464,0.40455025,-0.91078174
170.03355,-0.07414468,0.034539446,0.40427187,-0.9109499
170.04375,-0.07365514,0.034325443,0.4039936,-0.9111179
170.05315,-0.07321981,0.034178525,0.40371376,-0.9112829
170.06364,-0.072732285,0.03396178,0.403351,-0.91146886
170.07355,-0.07230586,0.03375383,0.40304017,-0.9116857
170.08365,-0.071872525,0.033604197,0.40267584,-0.9118686
170.09375,-0.07147416,0.033428457,0.40232202,-0.9120929
170.10374,-0.071040854,0.033278808,0.40195784,-0.9122757
170.11375,-0.070633605,0.0331641,0.4016351,-0.9124481
170.12366,-0.07019833,0.03301714,0.40135515,-0.9126132
170.13365,-0.06988425,0.032883145,0.40107685,-0.9127736
170.14375,-0.069501124,0.03280605,0.40087986,-0.91291773
170.15375,-0.06923653,0.03273984,0.40066662,-0.912973
170.16325,-0.06897462,0.032675683,0.40047115,-0.9131126
170.17365,-0.0688012,0.032647736,0.40018237,-0.9132239
170.18394,-0.06865653,0.032656766,0.3999529,-0.91340935
170.19385,-0.068604335,0.03264177,0.39966577,-0.91351616
170.20395,-0.06857824,0.03266166,0.39941996,-0.9136126
170.21375,-0.06867135,0.032697223,0.3992601,-0.91368663
170.22395,-0.06872958,0.03275886,0.39908978,-0.9137193
170.23395,-0.06882074,0.03279714,0.3990143,-0.91377544
170.24374,-0.06899832,0.03287437,0.39892995,-0.9137857
170.25385,-0.069177784,0.03289415,0.39896554,-0.91372776
170.26395,-0.06941632,0.03292543,0.3991374,-0.91368294
170.27345,-0.06962198,0.032980043,0.39921442,-0.9136145
170.28404,-0.069853716,0.03306959,0.39933288,-0.9135357
170.29385,-0.07003123,0.03309205,0.3994528,-0.91345996
170.30376,-0.0701416,0.03316871,0.39956975,-0.9133857
170.31415,-0.070287,0.03321925,0.39969707,-0.91335297
170.32405,-0.07039742,0.03329589,0.399814,-0.9132787
170.33395,-0.07057494,0.033318356,0.39993393,-0.9132029
170.34395,-0.07074841,0.03340108,0.40001833,-0.9131775
170.35394,-0.07088897,0.033507172,0.40000793,-0.9131284
170.36385,-0.07097126,0.033606462,0.3999635,-0.9131328
170.37405,-0.07105355,0.033705745,0.39991903,-0.9131371
170.38385,-0.07116193,0.03383994,0.39991605,-0.9131309
170.39404,-0.071296394,0.034009043,0.39995438,-0.91311437
170.40414,-0.07130957,0.03416527,0.39999127,-0.91310245
170.41396,-0.07140914,0.034360435,0.40001917,-0.9130446
170.42375,-0.07142024,0.03451941,0.4001405,-0.9130147
170.43385,-0.071431406,0.034678333,0.40026176,-0.91298497
170.44405,-0.071379505,0.03483118,0.40041557,-0.9129064
170.45395,-0.071316846,0.035047717,0.4006847,-0.912758
170.46405,-0.07116085,0.035283595,0.4009093,-0.91262174
170.47404,-0.07100566,0.035524197,0.40123624,-0.9125518
170.48405,-0.07079147,0.035753243,0.4014269,-0.9124689
170.49405,-0.07051428,0.035976164,0.40165,-0.9123371
170.50426,-0.07021571,0.036163494,0.4017652,-0.912318
170.51414,-0.06994331,0.036385696,0.40192175,-0.9122883
170.52425,-0.06970297,0.03657986,0.40207097,-0.91221595
170.53395,-0.069421716,0.036863063,0.4022586,-0.9121344
170.54405,-0.0691774,0.03706266,0.40257657,-0.9120263
170.55424,-0.06895235,0.037355427,0.4028826,-0.9118736
170.56425,-0.06879234,0.037596755,0.40327603,-0.91170156
170.57414,-0.06866053,0.03787023,0.40362656,-0.911537
170.58424,-0.0685286,0.03814376,0.40397704,-0.9113724
