elapsed_s,i,j,k,real
152.2574,-0.035894975,0.0028257428,-0.26187792,0.9643997
152.2676,-0.03594771,0.0028935126,-0.26188648,0.964398
152.2776,-0.036042392,0.0028789367,-0.2618605,0.9644344
152.2872,-0.036106437,0.002881563,-0.2618689,0.9643773
152.2973,-0.036188755,0.0029234828,-0.26190692,0.9644118
152.3075,-0.03625386,0.002934772,-0.26185137,0.9644119
152.3176,-0.03629207,0.0029078375,-0.2618236,0.9643842
152.3277,-0.036386773,0.0028932935,-0.2617976,0.9644206
152.3376,-0.0363583,0.0029277352,-0.2617042,0.9644417
152.3476,-0.03639759,0.002909436,-0.26161247,0.9644714
152.3571,-0.03640996,0.002852925,-0.26154837,0.9644732
152.3675,-0.03639388,0.0028309037,-0.2613909,0.96449614
152.3777,-0.036395,0.0028395406,-0.261327,0.96455353
152.3877,-0.036434263,0.0028212543,-0.26123524,0.9645832
152.3977,-0.036405817,0.002855728,-0.26114178,0.9646044
152.4076,-0.0364451,0.0028374125,-0.26105005,0.964634
152.4176,-0.036389716,0.0028336896,-0.2609843,0.9646274
152.4281,-0.036402088,0.0027771944,-0.2609203,0.96462905
152.4379,-0.036402088,0.0027771944,-0.2609203,0.96462905
152.4477,-0.036429014,0.00281539,-0.26089254,0.9646569
152.4578,-0.036403187,0.0027858305,-0.2608564,0.9646865
152.4679,-0.03644137,0.002758894,-0.26082855,0.96465886
152.4777,-0.036415547,0.0027293346,-0.26079232,0.9646884
152.4878,-0.036415547,0.0027293346,-0.26079232,0.9646884
152.4979,-0.036362793,0.0026615635,-0.2607838,0.9646901
152.5079,-0.03633586,0.0026233671,-0.26081148,0.96466225
152.5178,-0.03633586,0.0026233671,-0.26081148,0.96466225
152.5279,-0.03624492,0.0025825473,-0.26083076,0.96469164
152.5378,-0.036243815,0.002573926,-0.26089466,0.9646342
152.5478,-0.0361813,0.0024986307,-0.2610074,0.96464247
152.558,-0.036154382,0.002460435,-0.26103508,0.9646148
152.5681,-0.036144655,0.0024529137,-0.26115638,0.9646213
152.5779,-0.036078442,0.0024329876,-0.26127577,0.9645637
152.5879,-0.036041744,0.0023872522,-0.26142472,0.96454245
152.598,-0.036017478,0.0022850554,-0.2615096,0.9645231
152.6081,-0.03595126,0.002265159,-0.2616291,0.96446556
152.618,-0.035888754,0.0021898793,-0.26174182,0.9644739
152.628,-0.035890277,0.0021172103,-0.26186293,0.96442485
152.6379,-0.035797138,0.0020591333,-0.26201004,0.9643396
152.6479,-0.035760444,0.0020133976,-0.26215896,0.9643183
152.658,-0.0357249,0.001976302,-0.2622441,0.96435434
152.6679,-0.03565865,0.0019564035,-0.26236355,0.96429694
152.678,-0.035621997,0.0019106708,-0.26251245,0.9642756
152.6878,-0.03555574,0.0018907865,-0.26263183,0.9642181
152.6978,-0.035519093,0.0018450546,-0.26278085,0.96419686
152.7079,-0.035478685,0.0018547317,-0.2629365,0.9641098
152.7181,-0.035416193,0.0017794683,-0.26304924,0.96411806
152.7281,-0.03534998,0.0017595422,-0.26316863,0.9640605
152.738,-0.035340227,0.0017520038,-0.26328993,0.9640671
152.748,-0.035275124,0.0017407446,-0.2633454,0.9640669
152.75839,-0.035192795,0.0016988239,-0.26330733,0.9640324
152.7682,-0.035127647,0.0016875762,-0.2633629,0.9640324
152.7782,-0.035100725,0.0016493805,-0.2633906,0.9640045
152.7881,-0.035008673,0.0015999236,-0.26347375,0.9639765
152.7982,-0.034973085,0.0015628247,-0.26355883,0.9640126
152.808,-0.034881048,0.0015133392,-0.26364207,0.9639846
152.8182,-0.034854118,0.0014751428,-0.26366973,0.9639568
152.8284,-0.034828294,0.0014455831,-0.26363355,0.9639864
152.8381,-0.034734685,0.001468793,-0.26359558,0.9640074
152.8482,-0.034679305,0.0014650252,-0.26352978,0.96400064
152.8583,-0.03462391,0.001461301,-0.26346403,0.96399397
152.8683,-0.034559906,0.0014586777,-0.2634557,0.9640511
